Relation type to GLP-1 RA,Entity type,,,,Nodes (Entity type)
ADMINISTERED, 17Th Dose 1.00Mg,,,, Testosterone Production
ADMINISTERED, 18Th Dose 1.00Mg,,,, Blood Sugar
ADMINISTERED, 19Th Dose 1.00Mg,,,, Sleep
ADMINISTERED, 20Th Dose 1.00Mg,,,, Weight_Loss_Shot
ADMINISTERED, 21St Dose 1.00Mg,,,, Shortage
ADMINISTERED, 22Nd Dose 1.00Mg,,,, Fatigue
ADMINISTERED, 23Rd Dose 1.00Mg,,,, Day To Day Life
ADMINISTERED, 24Th Dose 1.00Mg,,,, Eating_Habits
ADMINISTERED, 25Th Dose 1.00Mg,,,, Weightloss
ADMINISTERED, 26Th Dose 1.00Mg,,,, Blood Sugar Control
ADMINISTERED, 27Th Dose 1.00Mg,,,, Blood Sugar Levels
ADMINISTERED, 28Th Dose 1.00Mg,,,, Insulin Sensitivity
ADMINISTERED, 29Th Dose 1.00Mg,,,, Hunger
ADMINISTERED, 30Th Dose 1.00Mg,,,, Gastrointestinal_System
ADMINISTERED, 0.5_Mg,,,, Cravings
ADMINISTERED, 1_Mg,,,, Food
ADMINISTERED, Ozempic,,,, Fluids
ADMINISTERED, 1St Dose 0.25Mg,,,, Work
ADMINISTERED, 2Nd Dose 0.25Mg,,,, A1C Level
ADMINISTERED, 3Rd Dose 0.25Mg,,,, Weight Maintenance
ADMINISTERED, 4Th Dose 0.25Mg,,,, Thoughts And Habits
ADMINISTERED, 5Th Dose 0.50Mg,,,, Mental Health
ADMINISTERED, 6Th Dose 0.50Mg,,,, Crying
ADMINISTERED, 7Th Dose 0.50Mg,,,, Irrationality
ADMINISTERED, 8Th Dose 0.50Mg,,,, Bitch
ADMINISTERED, 9Th Dose 0.50Mg,,,, Hormones
ADMINISTERED, 10Th Dose 0.50Mg,,,, Pancreas
ADMINISTERED, 11Th Dose 0.75Mg,,,, Cycle
ADMINISTERED, 12Th Dose 1.00Mg,,,, Adult Life
ADMINISTERED, 13Th Dose 1.00Mg,,,, Health
ADMINISTERED, 14Th Dose 1.00Mg,,,, Medications
ADMINISTERED, 15Th Dose 1.00Mg,,,, Surgery
ADMINISTERED, 16Th Dose 1.00Mg,,,, Hormone Regulation
ADMINISTERED, 17Th Dose 1.00Mg,,,, Constipation
ADMINISTERED, 18Th Dose 1.00Mg,,,, Normal
ADMINISTERED, 19Th Dose 1.00Mg,,,, Side Effects
ADMINISTERED, 20Th Dose 1.00Mg,,,, Fertility
ADMINISTERED, 21St Dose 1.00Mg,,,, Weight_Gain
ADMINISTERED, 22Nd Dose 1.00Mg,,,, Side_Effects
ADMINISTERED, 23Rd Dose 1.00Mg,,,, Appetite_Control
ADMINISTERED, 24Th Dose 1.00Mg,,,, Confidence Issues
ADMINISTERED, 25Th Dose 1.00Mg,,,, Self Esteem Issues
ADMINISTERED, 26Th Dose 1.00Mg,,,, Husband
ADMINISTERED, 27Th Dose 1.00Mg,,,, Heart_Rate
ADMINISTERED, 28Th Dose 1.00Mg,,,, Kids
ADMINISTERED, 29Th Dose 1.00Mg,,,, Liquids
ADMINISTERED, 30Th Dose 1.00Mg,,,, Effectiveness
ADMINISTERED_AS, Ozempic,,,, Insulin
ADMINISTERED_AS, Full 1Mg Dose,,,, Dumping Syndrome
ADMINISTERED_AS, Ozempic,,,, Emotions
ADMINISTERED_AS, Ozempic,,,, Liver
ADMINISTERED_AS, Ozempic,,,, Kidneys
ADMINISTERED_AS, Full 1Mg Dose,,,, Vagus Nerve
ADMINISTERED_AS, Ozempic,,,, Injection
ADMINISTERED_AS, Ozempic,,,, Egfr
ADMINISTERED_AT, 1 Mg Per Week,,,, Muscles
ADMINISTERED_AT, 2 Mg,,,, Fat
ADMINISTERED_AT, 1 Mg Per Week,,,, Dizziness
ADMINISTERED_AT, 2 Mg,,,, Body_Weight_Loss
ADMINISTERED_IN, Thigh,,,, Weight Loss Goal
ADMINISTERED_IN, Thigh,,,, Adhd Meds
ADMINISTERED_WITH,0.5,,,, Clothes
ADMINISTERED_WITH,0.5,,,, Glucose
ADMITTED_TO, Hospital,,,, Metabolism
ADMITTED_TO, Hospital,,,, Dinner
ADOPTED, Intermittent Fasting,,,, Hunger Control
ADOPTED, Intermittent Fasting,,,, Food Choices
ADVICE, Paxlovid,,,, Habits
ADVICE, Paxlovid,,,, Money
ADVICE_NOT_TO_USE, Ozempic,,,, Body’S Signals
ADVICE_NOT_TO_USE, Ozempic,,,, Heart Rhythm
ADVISED, Ozempic,,,, Blood Pressure
ADVISED, Ozempic,,,, Bsl
ADVISED_RESTART, Pen,,,, Insulin Requirement
ADVISED_RESTART, Pen,,,, Progress
ADVISED_STOP, Ozempic,,,, Exercise
ADVISED_STOP, Metformin,,,, Weight Gain
ADVISED_STOP, Ozempic,,,, 7Th Day After Surgery
ADVISED_STOP, Metformin,,,, 4 Weeks
ADVISES, Medication,,,, 47Yr Old
ADVISES, Heart Palpitations,,,, 46 Yrs Old
ADVISES, Pre,,,, 56 Years Old
ADVISES, Plateau,,,, Nausea
ADVISES, Medication,,,, Vomiting
ADVISES, Heart Palpitations,,,, Slow Transit Constipation
ADVISES, Pre,,,, 38 Pounds
ADVISES, Plateau,,,, Blood_Sugar_Control
ADVISES_ON, Gastrointestinal Issues,,,, Cycle_Syncing
ADVISES_ON, Weight,,,, Supplements
ADVISES_ON, Gastrointestinal Issues,,,, Working_Out
ADVISES_ON, Weight,,,, Family Planning
ADVISES_STOP_DUE_TO, Thyroid Cancer,,,, Conceiving
ADVISES_STOP_DUE_TO, Thyroid Cancer,,,, Weightlossgoal
ADVISES_TO_SKIP, Ozempic,,,, Weight Of 140
ADVISES_TO_SKIP, Ozempic,,,, Fatty Liver
ADVISES_TO_STOP, Ozempic,,,, Goal_Weight
ADVISES_TO_STOP, Ozempic,,,, Pregnancy
AFFECT, Weight Loss,,,, Healthy Weight
AFFECT, Weight Loss,,,, 10 Pounds
AFFECTED, Weight Loss,,,, Nutritionist
AFFECTED, Pcos,,,, 405Lbs
AFFECTED, Blood_Sugars,,,, Overweight Category
AFFECTED, Creatinine,,,, Wegovy
AFFECTED, Gang,,,, Snacks
AFFECTED, House,,,, Victoza
AFFECTED, Ozempic,,,, Oz
AFFECTED, Appetite,,,, 34Kg/75Pounds
AFFECTED, Cravings_For_Sweets,,,, Gi
AFFECTED, Blood_Sugar_Regulation,,,, 30Kg Weight Loss
AFFECTED, Testosterone Production,,,, Uk
AFFECTED, Blood Sugar,,,, Trulicity
AFFECTED, Sleep,,,, Pharmacist
AFFECTED, Weight Loss,,,, Migraines
AFFECTED, Pcos,,,, 15 Pounds
AFFECTED, Blood_Sugars,,,, Adhd
AFFECTED, Creatinine,,,, 26Lbs
AFFECTED, Gang,,,, Hair Loss
AFFECTED, House,,,, Sweets Cravings
AFFECTED, Ozempic,,,, Pharmacy
AFFECTED, Appetite,,,, Dehydration
AFFECTED, Cravings_For_Sweets,,,, Bmi
AFFECTED, Blood_Sugar_Regulation,,,, Food Poisoning
AFFECTED, Testosterone Production,,,, 0.5Mg
AFFECTED, Blood Sugar,,,, Ulcers
AFFECTED, Sleep,,,, Bloating
AFFECTED_BY, Weight_Loss_Shot,,,, High Activity Level
AFFECTED_BY, Shortage,,,, Burping
AFFECTED_BY, Fatigue,,,, Lower Back Pain
AFFECTED_BY, Weight_Loss_Shot,,,, Diarrhea
AFFECTED_BY, Shortage,,,, Sweating
AFFECTED_BY, Fatigue,,,, 15 Lbs
AFFECTING, Day To Day Life,,,, Gardia Infection
AFFECTING, Day To Day Life,,,, Gall_Bladder_Pain
AFFECTS, Weight Loss,,,, Gerd
AFFECTS, Eating_Habits,,,, Hospital Visit
AFFECTS, Appetite,,,, Guy
AFFECTS, Weightloss,,,, Cvs
AFFECTS, Blood Sugar Control,,,, Australia
AFFECTS, Blood Sugar Levels,,,, Marketplace Insurance
AFFECTS, Blood Sugar,,,, Orange Juice
AFFECTS, Insulin Sensitivity,,,, Crutch
AFFECTS, Hunger,,,, Birthday
AFFECTS, Gastrointestinal_System,,,, 54 Year Old Male
AFFECTS, Cravings,,,, 18K Calories
AFFECTS, Food,,,, 3 Days
AFFECTS, Fluids,,,, 16:8
AFFECTS, Work,,,, Panic_Attack
AFFECTS, A1C Level,,,, Hospitalization
AFFECTS, Weight Maintenance,,,, Thanksgiving Dinner
AFFECTS, Thoughts And Habits,,,, Financial_Hit
AFFECTS, Mental Health,,,, Joint_Pain
AFFECTS, Crying,,,, Water_Retention
AFFECTS, Irrationality,,,, Swollen_Legs
AFFECTS, Bitch,,,, Pain
AFFECTS, Hormones,,,, Nauseous
AFFECTS, Pancreas,,,, Migraine
AFFECTS, Cycle,,,, Brain Fog
AFFECTS, Ozempic,,,, Acid Reflux
AFFECTS, Adult Life,,,, Heartburn
AFFECTS, Health,,,, Depression
AFFECTS, Medications,,,, Stomach_Issues
AFFECTS, Weight_Loss,,,, Exhaustion
AFFECTS, Surgery,,,, Acid_Reflux
AFFECTS, Hormone Regulation,,,, Sulfur_Burps
AFFECTS, Weight Loss,,,, Paranoia
AFFECTS, Constipation,,,, Rapid_Heartbeat
AFFECTS, Normal,,,, Tiredness
AFFECTS, Side Effects,,,, Discomfort
AFFECTS, Weight Loss,,,, Feverish
AFFECTS, Fertility,,,, Mental Clarity
AFFECTS, Weight_Loss,,,, Irritability
AFFECTS, Weight_Gain,,,, Malaise
AFFECTS, Side_Effects,,,, Weakness
AFFECTS, Blood Sugar,,,, Appetite Suppression
AFFECTS, Appetite_Control,,,, Gas_Pains
AFFECTS, Confidence Issues,,,, Mild Symptoms From Ozempic
AFFECTS, Self Esteem Issues,,,, Gi Bugs
AFFECTS, Husband,,,, Stomach Hurting
AFFECTS, Heart_Rate,,,, Starving
AFFECTS, Kids,,,, Sickness
AFFECTS, Food,,,, Seasonal_Depression
AFFECTS, Liquids,,,, Miserable Feelings
AFFECTS, Cravings,,,, Suicidal Thoughts
AFFECTS, Weight Loss,,,, Bad Egg Burps
AFFECTS, Effectiveness,,,, Digestive System Rebellion
AFFECTS, Weight_Loss,,,, Appetite_Suppression
AFFECTS, Insulin,,,, Reaction
AFFECTS, Blood Sugar Levels,,,, Bad Side Effects
AFFECTS, Blood Sugar Levels,,,, Vertigo
AFFECTS, Dumping Syndrome,,,, Tachycardia
AFFECTS, Pancreas,,,, Symptoms
AFFECTS, Side Effects,,,, 45 Pounds Weight Gain
AFFECTS, Appetite,,,, Sick
AFFECTS, Cravings,,,, Symptomatic E.Coli
AFFECTS, Emotions,,,, Sulphur Burps
AFFECTS, Weight Loss,,,, Diarrhoea
AFFECTS, Liver,,,, Stomach Cramps
AFFECTS, Kidneys,,,, Gas
AFFECTS, Weight Loss,,,, Body_Rejection
AFFECTS, Health,,,, Crying Spells
AFFECTS, Vagus Nerve,,,, Extreme Pain
AFFECTS, Injection,,,, Explosive Diarrhea
AFFECTS, Normal,,,, Bed
AFFECTS, Weight_Loss,,,, Stomach Pain
AFFECTS, Mental Health,,,, Extreme Bloating
AFFECTS, Egfr,,,, Whole Body Aches
AFFECTS, Liver,,,, Panic Attack
AFFECTS, Muscles,,,, Discouragement
AFFECTS, Fat,,,, Stomach_Pains
AFFECTS, Normal,,,, Abdominal Pain
AFFECTS, Dizziness,,,, Throw Up
AFFECTS, Body_Weight_Loss,,,, Severe Side Effects
AFFECTS, Weight Loss Goal,,,, Weight Of 199
AFFECTS, Adhd Meds,,,, Bloated
AFFECTS, Normal,,,, Sulfur Burps
AFFECTS, Normal,,,, Bathroom Trips
AFFECTS, Clothes,,,, Projectile Vomiting
AFFECTS, Insulin,,,, Loss Of Appetite
AFFECTS, Glucose,,,, Stomach Pains
AFFECTS, Metabolism,,,, Headaches
AFFECTS, Cravings,,,, Burning Sternum
AFFECTS, Dinner,,,, Low Appetite
AFFECTS, Hunger Control,,,, Upper Left Stomach Pain
AFFECTS, Food Choices,,,, Hair Shedding
AFFECTS, Habits,,,, Extreme Shedding
AFFECTS, Hunger,,,, Grouchy
AFFECTS, Money,,,, Grumpy
AFFECTS, Food,,,, Bleeding
AFFECTS, Body’S Signals,,,, Severe Stomach Pain
AFFECTS, Heart Rhythm,,,, Gassiness
AFFECTS, Blood Pressure,,,, Reflux
AFFECTS, Bsl,,,, Bone Ache
AFFECTS, Insulin Requirement,,,, Energy_Loss
AFFECTS, Ozempic,,,, Starvation Mode
AFFECTS, Progress,,,, Vomit
AFFECTS, Egfr,,,, Bedridden
AFFECTS, Constipation,,,, Heavy Period
AFFECTS, Hormone Regulation,,,, Miserable_Feeling
AFFECTS, Appetite,,,, Weight Gain 53Lbs
AFFECTS, Cravings,,,, Cold Hands And Feet
AFFECTS, Exercise,,,, Numbness
AFFECTS, Weight Gain,,,, Trembling
AFFECTS, Fatigue,,,, Suffering
AFFECTS, Weight Loss,,,, Walking Difficulty
AFFECTS, Eating_Habits,,,, Headache
AFFECTS, Appetite,,,, Memory Loss
AFFECTS, Weightloss,,,, Appetite Loss
AFFECTS, Blood Sugar Control,,,, Blood Loss
AFFECTS, Blood Sugar Levels,,,, Irritated Skin
AFFECTS, Blood Sugar,,,,0.36
AFFECTS, Insulin Sensitivity,,,, Mum
AFFECTS, Hunger,,,, High School Graduation
AFFECTS, Gastrointestinal_System,,,, Pant_Size
AFFECTS, Cravings,,,, 140 Lbs
AFFECTS, Food,,,, August
AFFECTS, Fluids,,,, Fine
AFFECTS, Work,,,, Diverticulosis
AFFECTS, A1C Level,,,,168
AFFECTS, Weight Maintenance,,,, High Normal Reading
AFFECTS, Thoughts And Habits,,,, Goal Weight
AFFECTS, Mental Health,,,,OCCURS
AFFECTS, Crying,,,, Nurse
AFFECTS, Irrationality,,,, 35 Pounds
AFFECTS, Bitch,,,, Provider
AFFECTS, Hormones,,,, Best Friend'S Wedding
AFFECTS, Pancreas,,,, Hunger_Levels
AFFECTS, Cycle,,,, Tolerance
AFFECTS, Ozempic,,,, Relapse
AFFECTS, Adult Life,,,, Pancreatitis
AFFECTS, Health,,,, Existence
AFFECTS, Medications,,,,1.75
AFFECTS, Weight_Loss,,,, Urgent Care
AFFECTS, Surgery,,,, Abdominal Ct Scan
AFFECTS, Hormone Regulation,,,, Hypoglycemia
AFFECTS, Weight Loss,,,, Eating Disorder Program
AFFECTS, Constipation,,,, Inositol
AFFECTS, Normal,,,, Dosage_0.25
AFFECTS, Side Effects,,,, Water Intake
AFFECTS, Weight Loss,,,, Food Intake
AFFECTS, Fertility,,,, Gallstones
AFFECTS, Weight_Loss,,,, Weight Management
AFFECTS, Weight_Gain,,,, Er
AFFECTS, Side_Effects,,,, Berberine
AFFECTS, Blood Sugar,,,, Maintenance_Dose
AFFECTS, Appetite_Control,,,, Liraglutide
AFFECTS, Confidence Issues,,,, 0.14Mg
AFFECTS, Self Esteem Issues,,,, Music Festival
AFFECTS, Husband,,,, Saxenda
AFFECTS, Heart_Rate,,,, Rybelsus
AFFECTS, Kids,,,, .25Mg
AFFECTS, Food,,,, Walk
AFFECTS, Liquids,,,, Single
AFFECTS, Cravings,,,, Partner
AFFECTS, Weight Loss,,,, Doctor
AFFECTS, Effectiveness,,,, Hypoglycemic Incident
AFFECTS, Weight_Loss,,,, Gp
AFFECTS, Insulin,,,, Psychologist
AFFECTS, Blood Sugar Levels,,,, Endocrinologist
AFFECTS, Blood Sugar Levels,,,, Physician
AFFECTS, Dumping Syndrome,,,, Doctors
AFFECTS, Pancreas,,,, Water
AFFECTS, Side Effects,,,, Protein_Shake
AFFECTS, Appetite,,,, Quit
AFFECTS, Cravings,,,, Covid
AFFECTS, Emotions,,,, Global Shortage
AFFECTS, Weight Loss,,,, Swollenfeet
AFFECTS, Liver,,,, Maintenance Stories
AFFECTS, Kidneys,,,, Obesity
AFFECTS, Weight Loss,,,, Illness
AFFECTS, Health,,,, Sugar Level
AFFECTS, Vagus Nerve,,,, Abdomen Pain
AFFECTS, Injection,,,, Insurance
AFFECTS, Normal,,,, Marks Marine
AFFECTS, Weight_Loss,,,, Sons Costume
AFFECTS, Mental Health,,,, Prescription
AFFECTS, Egfr,,,, 0.25 Dosage
AFFECTS, Liver,,,, 0.50 Dosage
AFFECTS, Muscles,,,, Ontario_Drug_Benefits_Program
AFFECTS, Fat,,,,3
AFFECTS, Normal,,,, Weight Loss Drugs
AFFECTS, Dizziness,,,,February 2
AFFECTS, Body_Weight_Loss,,,, Pms
AFFECTS, Weight Loss Goal,,,, Sunday
AFFECTS, Adhd Meds,,,,0.27
AFFECTS, Normal,,,, 1Mg
AFFECTS, Normal,,,,250
AFFECTS, Clothes,,,, 152 Pounds
AFFECTS, Insulin,,,, Today: 165
AFFECTS, Glucose,,,,194
AFFECTS, Metabolism,,,, 360 Pounds
AFFECTS, Cravings,,,,161
AFFECTS, Dinner,,,, Current Weight
AFFECTS, Hunger Control,,,,198.4
AFFECTS, Food Choices,,,, 124.1Kg
AFFECTS, Habits,,,, 136.2 Lbs
AFFECTS, Hunger,,,,180
AFFECTS, Money,,,, 160Lbs
AFFECTS, Food,,,, 81Kg Current Weight
AFFECTS, Body’S Signals,,,,308
AFFECTS, Heart Rhythm,,,, 94Kg
AFFECTS, Blood Pressure,,,,AFFECTED_BY
AFFECTS, Bsl,,,,800
AFFECTS, Insulin Requirement,,,, 38% Body Fat
AFFECTS, Ozempic,,,, Weight Of 149
AFFECTS, Progress,,,,14
AFFECTS, Egfr,,,, Physical Activity
AFFECTS, Constipation,,,,2.5
AFFECTS, Hormone Regulation,,,, Gastric Emptying
AFFECTS, Appetite,,,, O
AFFECTS, Cravings,,,, Psychiatrist
AFFECTS, Exercise,,,, Cash_Payment
AFFECTS, Weight Gain,,,,300
AFFECTS, Fatigue,,,,50
AFFECTS_AVAILABILITY, Ozempic,,,, Ultrasound
AFFECTS_AVAILABILITY, Ozempic,,,, Self_Love
AFTER, Plateau,,,, Infections
AFTER, 7Th Day After Surgery,,,,HAS_METRIC
AFTER, Weight_Gain,,,,REASON_FOR_TAKING
AFTER, 4 Weeks,,,, Diabetes
AFTER, Plateau,,,, Prediabetes
AFTER, 7Th Day After Surgery,,,, Stomach_Virus
AFTER, Weight_Gain,,,, Colitis
AFTER, 4 Weeks,,,,15
AGE, 47Yr Old,,,, Kidney Stones
AGE, 46 Yrs Old,,,, Insulin Resistance
AGE, 56 Years Old,,,, Binge Eating Disorder
AGE, 47Yr Old,,,, Anorexia
AGE, 46 Yrs Old,,,, Pots
AGE, 56 Years Old,,,, T2
AGGRAVATES, Nausea,,,, Ir Pcos
AGGRAVATES, Vomiting,,,, Hashimoto’S
AGGRAVATES, Slow Transit Constipation,,,, Fibromyalgia
AGGRAVATES, Nausea,,,, Celiac
AGGRAVATES, Vomiting,,,, Fissure
AGGRAVATES, Slow Transit Constipation,,,, Pandemic
AID_FOR, Weight Loss,,,, Oatmeal
AID_FOR, Hunger Control,,,, Apple
AID_FOR, Weight Loss,,,, Almonds
AID_FOR, Hunger Control,,,, Turkey
AIDED, Weight Loss,,,, Protein Drink
AIDED, Weight_Loss,,,, Fasting
AIDED, 38 Pounds,,,, Paleo
AIDED, Weight_Loss,,,, Protein Bars
AIDED, Weight_Loss,,,, Drug
AIDED, Weight Loss,,,, Ireland
AIDED, Weight_Loss,,,, Mounjaro
AIDED, 38 Pounds,,,, Oxy
AIDED, Weight_Loss,,,, Bug
AIDED, Weight_Loss,,,, February
AIDS, Weight Loss,,,, Zofran
AIDS, Weight_Loss,,,, Kidney Labs
AIDS, Blood_Sugar_Control,,,, Friend
AIDS, Cycle_Syncing,,,, Water Consumption
AIDS, Supplements,,,, 0.25Mg
AIDS, Working_Out,,,, 0.375Mg
AIDS, Weight Loss,,,,1.5
AIDS, Weight_Loss,,,, Week 6
AIDS, Blood_Sugar_Control,,,, Week 5
AIDS, Cycle_Syncing,,,, Week 4
AIDS, Supplements,,,, Walking
AIDS, Working_Out,,,, People
AIDS_IN, Weightloss,,,, 1 Gallon
AIDS_IN, Weightloss,,,, 4 Weeks Ago
AIM, Family Planning,,,, 3 Months
AIM, Family Planning,,,, 5 Weeks
AIMING_FOR, Conceiving,,,, 10 Weeks
AIMING_FOR, Weightlossgoal,,,, 2 Weeks
AIMING_FOR, Weight Of 140,,,, Week
AIMING_FOR, Conceiving,,,, 3 Weeks
AIMING_FOR, Weightlossgoal,,,, 6 Weeks
AIMING_FOR, Weight Of 140,,,, Weight_Loss_Amount
AIMING_TO_IMPROVE, Weight Loss,,,, Wholegrain Toast
AIMING_TO_IMPROVE, Fatty Liver,,,, Egg
AIMING_TO_IMPROVE, Weight Loss,,,, Rice Pudding
AIMING_TO_IMPROVE, Weight Loss,,,, Yogurt
AIMING_TO_IMPROVE, Fatty Liver,,,, Pastrami
AIMING_TO_IMPROVE, Weight Loss,,,, White Bread Roll
AIMS_FOR, Goal_Weight,,,, Bananas
AIMS_FOR, Weight_Loss,,,, Multi Grain Bread
AIMS_FOR, Pregnancy,,,, Apple Juice
AIMS_FOR, Goal_Weight,,,, Omelette
AIMS_FOR, Healthy Weight,,,, Fat Free Cottage Cheese
AIMS_FOR, 10 Pounds,,,, Dave'S Killer Bread Power Seed
AIMS_FOR, Weight Loss,,,, Chicken
AIMS_FOR, Weight Loss,,,, Vegetables
AIMS_FOR, Weight Loss,,,, Cauliflower Rice
AIMS_FOR, Weight_Loss,,,, Fish
AIMS_FOR, Goal_Weight,,,, Rice
AIMS_FOR, Weight_Loss,,,, Crackers
AIMS_FOR, Pregnancy,,,, Eating Window
AIMS_FOR, Goal_Weight,,,, Normal Meals
AIMS_FOR, Healthy Weight,,,, User
AIMS_FOR, 10 Pounds,,,, 2 Hours
AIMS_FOR, Weight Loss,,,, Ir
AIMS_FOR, Weight Loss,,,, Yucky Effects
AIMS_FOR, Weight Loss,,,, Weightlossstrategies
AIMS_FOR, Weight_Loss,,,, Success Story
AIMS_TO_BECOME, Nutritionist,,,,May 22
AIMS_TO_BECOME, Nutritionist,,,, Travel
AIMS_TO_LOSE, Weight Loss,,,, Work Out 5X A Week
AIMS_TO_LOSE, Weight Loss,,,, Eat Clean
ALL_TIME_HIGH_WEIGHT, 405Lbs,,,, No Carbs
ALL_TIME_HIGH_WEIGHT, 405Lbs,,,, Powerlifting
ALMOST_LEFT, Overweight Category,,,, Journey
ALMOST_LEFT, Overweight Category,,,, Hair
ALTERNATIVE, Wegovy,,,, Polyps
ALTERNATIVE, Snacks,,,, Graves
ALTERNATIVE, Ozempic,,,, Carbs
ALTERNATIVE, Wegovy,,,, Sugar
ALTERNATIVE, Snacks,,,, Isolation
ALTERNATIVE, Ozempic,,,, Emotional Eating
ALTERNATIVE_TO, Victoza,,,,1/17/23
ALTERNATIVE_TO, Ozempic,,,, Joint Pain
ALTERNATIVE_TO, Ozempic,,,, Appetite Reduction
